,SecurityID,p,q,v_mu,omega,alpha1,alpha2,beta1,beta2
0,61997,2,0,-0.001975616933066856,0.00013575835410192656,0.37640075334855705,0.6235992511032799,0.0,0.0
0,61988,1,1,0.00240589539780954,0.00015904166536857186,0.09999994508810926,0.09999994508880598,0.34999980780697254,0.3499998078070426
0,61883,1,0,0.017284545125839358,0.0005634264661733219,0.0,0.8606012992108623,0.0,0.13939870079004912
0,61865,1,1,0.00447713474806078,1.52019701795427e-05,4.1118541236018387e-07,2.2530457195806576e-07,0.9282361304789265,0.00010774799952118641
0,61860,1,0,-0.003276362874396468,0.0004327844996391642,0.1843226675516514,9.106371881105383e-18,1.6664660542422852e-18,2.5042522673039802e-18
0,61859,2,0,-0.002850825270555427,0.0005284136459200092,0.0,0.1469748542879986,0.0,0.0
0,61844,1,0,0.027035170537865565,0.0006836614016316933,1.8727102060022937e-12,0.0,2.196263920390408e-11,0.9999999999410285
0,61805,2,0,-0.012160048891573972,0.0003735574885192466,0.11185381408754475,0.8881461859124564,0.0,2.692064863815567e-16
0,61803,1,0,0.007086960921578963,0.001892066178256477,0.7173830390939386,7.938685248713427e-15,1.9593044290444197e-13,0.17566849503668236
0,61781,1,1,-0.0011870013732637958,7.627854488801826e-06,0.09999957702189335,0.09999957702189335,0.38999835038538405,0.38999835038538405
0,61752,1,0,0.00747872068756974,0.0005044586425412705,0.0,1.066002665354096e-11,0.0,0.8322271434807776
0,61749,1,0,0.0027937629329850707,4.632178077214335e-05,0.9273462935635249,1.1877040019756326e-17,1.1280382190886865e-17,0.07265431762183962
0,61740,1,1,0.0019748750474056546,1.3561943349773422e-05,0.1,0.1,0.39,0.39
0,61725,1,1,0.0031482076499171896,0.0002115707296572151,2.349157234907829e-10,2.358927130036447e-10,0.3237864323096415,0.0
0,61719,1,1,-5.8525159737206175e-05,2.3898116654636076e-05,0.04997385796890863,0.049973857965812316,0.2996440049689731,0.2996440049690181
0,61670,1,0,-0.005245778847270112,0.00045245641796405156,0.0,0.0,6.089702152163118e-12,3.503905944333795e-11
0,61668,1,0,-0.004008757035791237,0.01283341513542842,1.0,0.0,0.0,0.0
0,61660,2,0,-0.006432800783736819,0.0004945560445973353,0.137545039211781,0.8490239730001544,0.0,7.770951490841443e-08
0,61616,1,0,-0.0006426211773180468,0.0011082325743117234,3.4651739998222434e-13,4.0823951436654916e-13,5.1284156558621245e-11,0.2414588457420756
0,61597,2,0,-0.0048793798542180675,0.003671450465665353,1.2159348081151998e-14,0.61250742199558,1.1924028147135859e-14,9.358767031175946e-15
0,61559,1,0,-0.004753421164004877,5.727189954413082e-06,0.005,0.005,0.245,0.245
0,61554,1,0,0.005054131157204595,0.0001547495666844349,0.9999999987905618,3.0938955205867486e-11,1.5848058819650783e-11,5.3931941488897525e-11
0,61549,1,0,-0.0005314521392131204,6.662808468612923e-05,0.00499989076852235,0.00499989076852235,0.44499027839848915,0.44499027839848915
0,61538,1,2,0.0018072357794616796,4.138682810241265e-05,5.675032463416235e-07,3.685063739744596e-07,5.5037761661706296e-06,0.8565895146649339
0,61536,1,0,0.0007277692246135537,2.4958431052214834e-05,0.09998081266413626,0.09998081276841383,0.3899251692480478,0.38992516925661624
0,61530,1,0,0.5572949023576091,1.5735387670828676e-12,8.964434177400476e-11,7.937247656861215e-11,0.9554768725306826,1.8169190207247298e-10
0,61520,1,0,-0.0025812897875676054,0.0011133300127749372,0.20289805215309958,0.0,0.4538311079580348,0.0
0,61494,1,0,-0.008736515153902336,0.00040181158002521684,0.0,0.04053184267046289,0.22612678294947813,0.0
0,61493,1,0,-0.01756203875393335,0.0002453416184292365,0.0,0.0,0.9126627489750399,0.0
0,61491,2,0,-0.0008837381310096685,2.328671821451751e-06,0.09999984360769637,0.09999984360773234,0.38999938994998945,0.38999938994998945
0,61484,2,0,-0.007897154467033278,0.00023589734077405301,0.27050167406242664,0.25053316743551807,0.1660912512567847,0.16609126870014515
0,61469,1,0,-0.016192042253109645,0.010020566095129258,1.0,1.599334337093666e-10,3.256003602427779e-10,5.291672441542402e-10
0,61462,1,0,-0.0025007678172123205,8.140420613217603e-05,3.0794580705160583e-12,3.3593360214369076e-14,0.40619037423844734,0.3838143136367099
0,61459,2,0,0.00993208505629897,0.0,0.029833290345225943,8.731800012053769e-08,0.0,0.8288291464156128
0,61458,1,0,0.0032576355486471317,0.008222965736649638,0.6289354636896388,0.0,0.0,0.022231740331023455
0,61454,1,0,-0.015129395521934588,1.6087384591789394e-11,7.892040756724728e-12,5.521500738974722e-12,0.9741955058874395,8.103179891485815e-08
0,61453,1,1,-0.0037288908904870707,3.972035738361918e-05,4.0486432870455435e-11,3.401048640194886e-11,0.0,0.9462211662091128
0,61442,1,0,-0.004385558327344662,8.601085272785014e-05,0.0035915132953409784,0.003591513461006245,0.36609107120164397,0.39736390084059364
