,SecurityID,p,q,v_mu,omega,alpha1,alpha2,beta1,beta2
0,16551,2,1,0.029855271595237376,0.006740876472492639,0.182634576870382,0.14643146004250623,0.10278919790878721,0.5681447651783247
0,16550,1,1,-0.33673389372991913,9.00337308615938,3.576074415142354e-08,3.321586456622127e-08,1.5819635593398628e-10,0.9139039683604508
0,16549,2,0,-0.007319412834558842,0.0016126304441750879,0.17421874094959816,0.8225760466663661,0.00037800048029304093,0.0028272119004906925
0,16547,1,1,0.002690521444738323,0.00011624328524608038,0.0842314767071733,0.0,0.28586393888580125,0.6299045844070444
0,16546,1,1,-0.0007126879091661325,0.0006069968429097102,0.1543901750131131,0.06823768342214317,0.689198077837411,3.469446951953614e-18
0,16545,2,0,0.0005333502866308459,0.004814049751956585,0.47383598682106337,0.13677497937135455,0.11613828597062924,2.511093953496819e-13
0,16541,1,2,0.00020351539622098254,0.00038747538466240726,0.3595909550239158,0.0,0.08993221587951036,0.3979352562258716
0,16540,1,1,-0.00202215922835077,0.001361779106259556,0.2777083292765144,0.0822797909539411,6.540839595591493e-18,0.3679594732274906
0,16538,1,1,-0.0008641277469912233,0.0002171529561482159,0.3755693481118796,0.0,0.48228130614999387,0.1331300180919885
0,16534,1,1,-0.0011035190006379184,0.00034740618391870267,0.10000562424586305,0.09999937519822141,0.3499978129939754,0.3499978129925578
0,16532,1,2,0.005680957153986234,0.0037267075590759653,0.27267006393946647,0.0,0.0,0.27390840609243033
0,16531,1,2,0.007884371988413772,0.0039693167770072394,0.368209697605455,0.03503418472513425,0.0,0.4777523155761854
0,16530,1,1,0.014221457882336802,0.0019739406708144734,0.3748508109358683,0.027401639876532047,0.3130362681822598,0.28471128100533993
0,16529,2,2,0.006677353064398341,0.0011161427597707748,0.0488064812766992,0.27546918055423864,3.7069871614074125e-07,0.6188343680103898
0,16528,1,1,0.006574106842124825,0.001731794992178376,0.06538924737605628,0.13180318415472964,0.16685155538366328,0.5523577391576131
0,16526,1,2,-0.0020058145277674715,0.00016768786734117292,0.24075252016945692,0.0,0.23360582778840097,0.4362256010215092
0,16525,1,2,0.0011415789605117369,0.0005918242785696808,0.14660279035412588,0.01840748544837863,8.462454412259938e-09,0.7292914568440099
0,16523,2,0,0.0013346302102235945,0.0021591180623699415,1.2422035094801837e-07,1.774569127726586e-07,0.050560925715918005,0.9494423124910114
0,16522,1,2,-0.001009209422040379,0.0006136084403259741,0.5017887339339409,9.488890377322049e-16,0.17903183393592015,0.24669797487407452
0,16521,1,2,0.006203421712297024,0.0005392921547485409,0.2777544102545072,1.673562393377312e-13,0.18983900577116933,0.5324065839752028
0,16520,2,2,-0.002609342379110864,0.0018359742827974868,0.2367195782387056,0.6052447857325193,9.416453634555082e-16,0.1067863243952916
0,16519,1,1,-0.0011800780910407778,0.00022621165824955158,0.10003258813884112,0.09999637917399465,0.34998732721228587,0.3499873272533745
0,16512,1,1,-0.002538761684118756,0.0002577627666011317,0.28768313589821376,0.0,0.5395084238055635,0.172808440295958
0,16511,1,2,0.00038822881161125163,0.0005059515083781178,0.23743584706130033,0.0166324702736195,0.0,0.62253219473914
0,16510,1,1,-0.0018398207346511596,0.0003983387155180698,0.42253898196210377,0.030525738222325394,0.5115533014342264,0.0
0,16509,1,1,-0.005947863060652099,0.0007243678958953348,0.2841782668006033,0.32127241193143724,0.0,0.3945493213020534
0,16508,1,1,0.0019654498330173554,0.0009073350565161618,0.15673584825788703,0.17280253785892366,3.9247155238011914e-09,0.49172018357485087
0,16507,1,2,0.005459213942753825,0.0005825457084089765,0.13650347575006191,1.5200717771988305e-11,1.634194853524489e-11,0.8578055254698638
0,16506,1,1,-0.00030554332381046566,0.0002626956626147491,0.3645288229089614,1.5696472037932553e-14,0.43069968929239333,0.2047714877986297
0,16505,2,2,0.005670833591995169,0.0017215392670899305,0.008670184696836043,0.18691372612564172,0.012320938550573894,0.6795119363678073
0,16504,1,2,0.0002686179352517923,0.0005653939922155686,0.44269457847239535,6.819263595445207e-10,0.07120218658194011,0.3732721369112209
0,16503,1,1,-0.0007909138792269291,3.647324933012737e-05,0.10043202684890758,0.09995664177174667,0.3898157814719698,0.389815807797795
0,16502,2,2,-0.0011205786119515137,6.71399103834008e-05,0.08236976974772038,0.34610746476884846,0.0,0.5715227673458875
0,16501,2,1,-0.0017404730571853435,5.815130238501448e-05,0.09999926008950848,0.10000667702787316,0.38999710758427003,0.3899971074398016
0,16500,2,1,-0.0010646231789368948,7.453980451510299e-05,0.11826226144227864,0.4642639328463355,0.30221499629641513,0.11525880941322685
0,16499,2,2,-0.002183625773128566,0.000438782302353703,0.31205094068731365,0.031151719960539285,0.0,0.6567973418695812
0,16498,2,0,-0.00402194702097309,7.530799534506563e-05,0.1308978834294807,0.09870857989484219,0.38361599152620063,0.3836158454053609
0,16497,1,2,0.0033713044410928457,0.0002904785899847472,0.10002038306273214,0.09999773573853872,0.38999116695445435,0.38999116717232146
0,16496,2,0,-0.0006880647439427088,5.628334806215307e-05,0.10010528145040333,0.09998817684154188,0.38995430512983903,0.38995434311105526
0,16495,2,0,-0.004139174121956284,0.00013817198826297824,0.10001887358782113,0.10050229281648908,0.39007259909373976,0.3900724180744386
0,16494,2,0,-0.004488678066607341,0.00023229375458322732,0.10000521478396457,0.09999942121047348,0.38999774052911546,0.3899977404905793
0,16492,2,2,-0.002106518649868116,0.0010492074234991003,0.6319984303873004,0.043754216628600844,0.0,0.3242473542211887
0,16491,1,1,0.0005911149144641938,5.650024215924757e-05,0.10010015136147578,0.09998886743747391,0.3899566282282547,0.38995663168671346
0,16490,1,2,-0.00815084350724663,0.0004044976038817801,0.6232353783569037,1.0144870155806865e-09,0.04315274569259083,0.3336118809046075
0,16489,1,2,0.001702687436645151,0.0006481744519120855,0.2859633761037755,0.0,0.29419889519352,0.4198377287250091
0,16488,2,0,0.005798100214304033,0.00036619550272788757,2.2985772914784661e-10,1.8803166766481055e-10,1.4177092492853106e-08,0.9999999994322175
0,16487,1,0,0.0009503316788169213,5.25763435920372e-05,0.10000406856172539,0.09999954803905596,0.3899982370664907,0.38999823708660236
0,16486,1,0,-6.0849974382905605e-05,6.141254217479027e-05,0.10000541720739123,0.09999939782359447,0.3899976515986504,0.38999765189359914
0,16485,2,2,-0.002336985924830362,0.0004886509649573658,1.0668678987704011e-08,0.6959125919890267,0.1334722989896157,0.17061511941040003
0,16484,1,1,-0.003007159051410733,4.217023556446146e-05,0.1000026890558493,0.09999970111070357,0.3899988344024017,0.38999883444139544
0,16483,2,1,-0.002659980085073307,0.00027467473593707466,0.07706184208578216,0.9197248841091499,0.0,0.003213275585938722
0,16481,2,0,-0.008535563424749617,0.0008681761567719865,0.04074683597038857,0.6332608653049182,0.15890637886176015,0.15890592993655947
0,16480,1,1,-0.00281566325117777,0.00011643607151057843,0.5112413596046738,0.0,0.4018378787724668,0.0869207609663378
0,16479,1,0,-0.004079597882806172,5.129991385203881e-05,0.10000325712240983,0.09999963791837131,0.389998588015834,0.3899985881676535
0,16478,1,0,-0.005429487773274358,0.00015129449678608507,0.10162074769963698,0.09982007751801272,0.38929767110632413,0.3892976715442118
0,16477,2,0,-0.004260350603870994,7.528470297398061e-05,0.099999422470845,0.1000051614376734,0.3899977476362956,0.389997748078636
0,16476,2,0,-0.002188977665004195,3.0213054409425418e-05,0.10002080682002977,0.09999800749697277,0.38999223637730573,0.3899922359769623
0,16475,1,2,-0.0030917895118951324,0.0002445975134172237,0.7589611936564026,7.297032892868794e-13,0.15306085266124933,0.08797795367963625
0,16474,1,1,-0.0021154044245546913,0.000241832483398834,0.6981950913437259,0.15308905232158426,0.0,0.1487158563346944
0,16473,1,2,-0.00020373793034464188,0.0002388766219115253,0.7783344065244239,0.0,0.0,0.2216655935104229
0,16472,2,2,-7.96448477533368e-05,0.0002182482250067262,0.8286915724395629,1.007492251418545e-10,1.6062365299566073e-10,0.15316703436062457
0,16471,2,1,-0.003926873251741774,0.00032301191285917665,0.3086686030230204,0.07681705026998949,0.2995769387090462,0.2995769387046695
0,16470,1,1,0.02284087973408405,0.009708107600887961,0.7488711477123037,3.911164790846823e-12,0.23116817026875838,0.019960682018366743
0,16469,1,1,-0.0024991061690171202,0.000348293072339323,0.09999898573445852,0.0999989857597234,0.34999645018015957,0.34999645018606557
0,16467,1,1,-0.0016913599171539029,0.00018035842897265764,0.13371991868359412,0.18400166990477526,0.08267801893919148,0.469550198178494
0,16466,1,1,-0.0014591547381033172,0.00012525987466220008,0.14704711067221277,0.0,0.7207826813279391,0.12467669781839097
0,16465,1,2,0.009123058296650706,0.006075977838203881,0.5260708541104138,1.3713817628899456e-09,0.05654712150810128,0.4173820180279905
0,16464,1,2,-0.0008056032331840191,0.0001751036979890765,0.21198634852658882,1.0922379357854547e-12,0.03807813636194153,0.7103733553442357
0,16463,1,2,-0.0031437482572653336,0.00029015402004957847,0.19741739477225861,0.02789099264843596,3.830517222259153e-09,0.7746916138827343
0,16462,2,0,-0.0025350231168682906,0.00010311338299510879,0.09998892736137532,0.10009907544562352,0.3899569604146413,0.3899570340591123
0,16460,1,0,-0.001429686447101902,0.00011217808679343933,0.16856362485657908,0.09238155532508863,0.36028801335912203,0.36028801574638736
0,16459,1,1,-0.0035351822603953047,4.977382231274349e-05,0.10014689313550716,0.1000001487704239,0.38999297965325785,0.3899929834231397
0,16458,1,1,-0.0020917148415377953,4.401782789883497e-05,0.10006432358842722,0.09999285841453277,0.38997212953635146,0.3899721285696238
0,16457,2,0,-0.001901360671653369,4.642794384130405e-05,0.10023931212256464,0.09997344789854368,0.3898963232114397,0.3898963165801161
0,16454,2,1,0.0006378626261302856,0.0006562102845912174,0.5001805147534107,0.404916265804758,0.09490321944183155,0.0
0,16453,1,2,-0.00022295374328586275,0.0002035906346171926,0.2719868848657484,0.010542550079240895,0.0,0.7174705656932949
0,16451,1,2,-0.00018678599837293627,0.00013184038359692762,0.1621660690423209,0.10268338184646533,0.3691936324316884,0.3691931727634962
0,16450,2,2,0.0007194247027779404,0.0005373163891036056,0.14223053141275982,9.308779770227172e-06,5.12330768747782e-05,0.8577457744885756
0,16449,2,0,-0.0031938055418537043,6.565452158449529e-05,0.0999992205113456,0.10000703066479504,0.38999694773210103,0.3899969474437109
0,16445,2,1,-0.0008160204996757212,0.0001640483405097455,0.0772075127604685,0.3088994570727432,0.299740415229717,0.2997404292666837
0,16444,1,0,-0.0060909852507744534,0.00041375318038259525,0.10000932533723182,0.0999989626625578,0.38999595605506243,0.38999595676719334
0,16441,2,0,-0.004207286518305509,6.891389038664062e-05,0.1000031334997716,0.09999965146051444,0.3899986386348568,0.38999863876365365
0,16438,1,1,-0.001357641846775469,3.388764214626706e-05,0.09999946891154056,0.10000477850659632,0.38999792901297936,0.3899979290184708
0,16437,1,1,-0.0028863957433465435,0.00014113119100967567,0.14966526998328433,0.16200747872653054,0.3444003355144649,0.3444003113949202
0,16436,2,0,6.729112611049786e-05,0.00016217355424019738,0.10001731253668221,0.09999807638465917,0.3499932673471273,0.3499932673479226
0,16435,2,1,0.0005871872156145814,0.00014157801511780396,0.10000244909389841,0.09999972787953812,0.34999904757993805,0.3499990475811542
0,16434,1,1,-0.0005025741653528318,9.789285839934363e-05,0.13545561782949572,0.09655603386470574,0.19864156516845213,0.5148074063638606
0,16433,2,1,-0.0014776226832291886,0.00013686280410856556,0.23249752170972462,0.260878458936168,0.0,0.5066240194281574
0,16432,1,1,-0.00011717101259711299,4.189518102106184e-05,0.05128769281940978,0.049932227137660004,0.43940359458789735,0.439403594626089
0,16431,2,1,-0.0020062598272839113,0.00024115511337595584,0.25310562493965744,0.4417456850546971,0.17646141609697535,0.12868729029882106
0,16430,1,1,-0.0009627547456812559,0.00015729552072603852,0.09993408907975794,0.09993408116820438,0.34944390434231654,0.3494439043414239
0,16429,2,2,-0.002162717428934175,0.00021733153529849482,0.004557895840488268,0.7534938411808345,0.16128763356194242,0.0806606293751702
0,16425,2,0,0.0005415937475084208,0.0007589286820208244,0.5938570217689463,0.34192889514043356,0.0,0.06421408308270202
0,16424,2,1,0.0005078654223194315,6.320320510488591e-05,0.10800773914978505,0.09911025881680621,0.38653001240286294,0.38653001752202143
0,16423,2,1,-0.0009912984354057202,0.00016160636211906792,0.08559536822192564,0.25000932225887396,0.3264382653316231,0.3264384092337972
0,16422,2,0,8.12176946801729e-06,0.0001574044679225145,0.19949879163443618,3.981291553762332e-12,0.37776472306525505,0.42273648530154656
0,16420,1,1,1.2134595305446014e-06,0.0006289895560107701,0.09999901767022884,0.09999901768932203,0.34999656196978696,0.34999656198394624
0,16419,1,1,-0.0017843197844299797,3.985600258909594e-05,0.10374446323696378,0.099583997696147,0.38837739919518616,0.38837739928283527
0,16418,1,1,-0.00014200549049562752,0.00011861794205131053,0.12490209225401276,0.1893646111572626,0.0,0.6852318279095336
0,16417,1,1,-0.0021811546248201815,0.00021972805704514078,0.44353650479794804,0.3363084263545279,0.20342949765786353,0.0
0,16398,2,2,-0.0016123102420753277,0.00017316171784621765,0.10171761320060464,0.2952419369361379,0.12268020703091283,0.4581262245605309
0,16395,1,1,-0.0005653407249901096,5.997568514913202e-05,0.18702521769080388,0.012324749734863317,0.5655681843332502,0.23508265920009308
0,16394,1,2,-0.00019318205029174846,0.0003924107941783924,0.5022399697486519,0.10023914019740023,1.2068963517116157e-13,0.39752089005251634
0,16379,1,1,-0.0008144354325513037,0.00013825599690878008,0.4221859487585543,0.06404158747101782,0.24976282307276143,0.2497628931112024
0,16378,1,2,-0.001014919959437622,8.403266415326306e-05,0.0999987082921503,0.0999987109633402,0.34999548661012503,0.34999548690714233
0,16377,1,1,-0.0022607044754857563,8.942418824223672e-05,0.10140416049857288,0.09980408815301879,0.3492522936660239,0.3492522941259069
0,16376,1,2,-0.0021286286735133025,0.0001241257574547247,0.30920673918959246,1.248522965201286e-15,0.30760970411134536,0.2590386790734355
