,SecurityID,2019-02-28,2019-04-30,2019-06-30,2019-08-31,2019-10-31,2019-12-31
138,14776.0,Cluster 1,Cluster 2,Cluster 15,Cluster 40,Cluster 6,Cluster 45
139,14868.0,Cluster 1,Cluster 1,Cluster 9,Cluster 59,Cluster 50,Cluster 34
140,14920.0,Cluster 1,Cluster 1,Cluster 9,Cluster 29,Cluster 8,Cluster 12
141,14931.0,Cluster 1,Cluster 29,Cluster 28,Cluster 29,Cluster 106,Cluster 21
142,14947.0,Cluster 1,Cluster 97,Cluster 9,Cluster 28,Cluster 50,Cluster 15
143,14999.0,Cluster 1,Cluster 2,Cluster 9,Cluster 28,Cluster 81,Cluster 10
144,15083.0,Cluster 1,Cluster 29,Cluster 9,Cluster 28,Cluster 9,Cluster 1
145,15130.0,Cluster 1,,,Cluster 117,Cluster 7,Cluster 102
146,15142.0,Cluster 1,Cluster 2,Cluster 23,Cluster 29,Cluster 50,Cluster 1
147,15180.0,Cluster 1,Cluster 97,Cluster 15,Cluster 58,Cluster 38,Cluster 20
148,15189.0,Cluster 1,Cluster 97,Cluster 10,Cluster 58,Cluster 58,Cluster 12
149,15198.0,Cluster 1,Cluster 2,Cluster 15,Cluster 14,Cluster 58,Cluster 15
150,15201.0,Cluster 1,Cluster 1,Cluster 9,Cluster 59,Cluster 8,Cluster 0
151,15318.0,Cluster 1,Cluster 18,Cluster 20,Cluster 58,Cluster 58,Cluster 12
152,15339.0,Cluster 1,Cluster 112,,,,
153,15465.0,Cluster 1,Cluster 1,Cluster 2,Cluster 28,Cluster 21,
154,15495.0,Cluster 1,Cluster 29,Cluster 15,Cluster 28,Cluster 58,Cluster 0
155,15588.0,Cluster 1,Cluster 97,Cluster 9,Cluster 29,Cluster 24,Cluster 34
156,15730.0,Cluster 1,Cluster 2,Cluster 13,Cluster 59,Cluster 9,Cluster 34
157,15735.0,Cluster 1,Cluster 29,Cluster 52,Cluster 58,Cluster 58,
158,15998.0,Cluster 1,Cluster 97,Cluster 28,Cluster 14,Cluster 4,Cluster 53
159,16150.0,Cluster 1,Cluster 2,Cluster 9,Cluster 28,Cluster 8,Cluster 0
160,16151.0,Cluster 1,Cluster 50,Cluster 23,Cluster 59,Cluster 8,Cluster 34
